tenure_id,person_id,org_id,role,start_date,end_date,date_precision,status,source_id,notes,track,line_style,x_offset
adhikari_ncp_gs,adhikari,ncp_unified,尼共中央总书记,1954-01-27,1957-06-01,mixed,uncertain,WTY-P28-P31,1954年尼共一大选举其为总书记；终点按1957年二大会期定位，不代表原书提供了具体卸任日,political,dash,-0.16
raimajhi_ncp_leadership,raimajhi,ncp_unified,中央领导人（1957年起任总书记）,1954-01-01,1961-03-01,mixed,reported,WTY-P31,1954年进入中央委员会；1956年9月任中央执行书记；1957年当选总书记,political,solid,0
raimajhi_contested_centre,raimajhi,ncp_raimajhi,控制另一中央,1962-04-01,1966-01-01,mixed,disputed,WTY-P31,拒绝接受处分及三大合法性；书中称尼共实际形成两个中央,political,dash,0
raimajhi_ncp_raimajhi,raimajhi,ncp_raimajhi,总书记／主要领导人,1966-01-01,1983-07-01,year,reported,WTY-P31-P32,1966年正式另立中央；1967年另开三大；1983年被开除,political,solid,0
raimajhi_post_1983_party,raimajhi,ncp_raimajhi,另立新党并自任总书记,1983-07-01,1986-01-01,year,reported,WTY-P32,1983年被尼共（腊伊玛吉）开除后另立新党；1986年又被该党开除,political,dash,0
raimajhi_people_party,raimajhi,ncp_raimajhi,尼泊尔人民党（社会民主主义）领导人,1991-01-01,1991-05-31,year,reported,WTY-P32,大选前组成；竞选失败后随即解散,political,dash,0
raimajhi_education_minister,raimajhi,ncp_raimajhi,过渡政府教育大臣,1990-01-01,1991-05-31,mixed,reported,WTY-P32,受国王委派并代表国王监督制宪运动,public_office,solid,0
raimajhi_royal_affairs,raimajhi,ncp_raimajhi,皇家事务委员会主席,1991-06-01,2008-01-01,year,uncertain,WTY-P32,起止年份依据段落顺序作图；原书未明确给出任期,public_office,dash,0
adhikari_ncp_unity_congress,adhikari,ncp_unity_congress,创建者／主要领导人,1982-01-01,1986-01-01,year,reported,WTY-P30,1982年创建尼共（统一大会）；1986年该党并入尼共（马）,political,solid,-0.16
adhikari_ncp_uml_chair,adhikari,ncp_uml,党主席,1991-01-01,1993-09-01,month,reported,WTY-P30,1991年1月参与联合成立尼共（联合马列）并当选党主席,political,solid,-0.16
adhikari_ncp_uml_chair_reelected,adhikari,ncp_uml,党主席（1993年再次当选；任期终止时间未载）,1993-09-01,1999-04-26,mixed,uncertain,WTY-P30,原书未说明1993年再次当选后的任期终止时间；线段止于去世日仅为显示边界,political,dash,-0.16
adhikari_pm,adhikari,ncp_uml,尼泊尔首相,1994-11-01,1995-09-01,month,reported,WTY-P30,1994年11月当选；1995年9月辞职,public_office,solid,0.20
shrestha_first_gs,pushpa_lal_shrestha,ncp_unified,首任总书记,1949-04-22,1954-01-27,mixed,reported,WTY-P27,1949年4月筹建集会推选；同年9月发布党纲并宣告正式成立；1951年代表会议再次当选；1954年一大由阿迪卡里接任,political,solid,-0.16
shrestha_amatya_shared_leadership,pushpa_lal_shrestha,ncp_amatya,与阿玛提亚分担领导职责,1962-04-01,1968-01-01,mixed,uncertain,WTY-P31-P32,1962年三大决定二人共同分担领导职责；1968年什雷斯塔另组政党；两个端点均未见确切日,political,dash,-0.16
shrestha_pushpa_lal_party,pushpa_lal_shrestha,ncp_pushpa_lal,创建者／主要领导人,1968-01-01,1978-07-22,mixed,reported,WTY-P27,1968年另建尼共（普什帕·拉尔）；书内第27页脚注明确其领导至1978年7月22日去世,political,solid,-0.16
singh_congress_member,mohan_bikram_singh,nepali_congress,党员／民主运动参与者,1950-01-01,1953-01-01,year,reported,WTY-P34-P36,1950年加入大会党；1953年离开转入尼共,political,solid,-0.16
singh_ncp_member,mohan_bikram_singh,ncp_unified,党员／1957年起为中央委员,1953-01-01,1961-01-01,year,uncertain,WTY-P34-P36,1953年加入尼共；1957年当选中央委员；1961年再次被捕；线段终点仅为这段活跃期的显示边界并非退党日期,political,dash,0.16
singh_central_nucleus,mohan_bikram_singh,ncp_central_nucleus,中央核心小组组织者,1971-01-01,1973-01-01,year,reported,WTY-P33-P34,1971年与阿迪卡里和沙穆布·拉姆·什雷斯塔组建核心小组；1973年解散,political,solid,-0.16
singh_fourth_congress_first,mohan_bikram_singh,ncp_fourth_congress,创建者／主要领导人,1974-09-15,1978-01-01,mixed,reported,WTY-P36-P39,1974年与尼莫·拉玛创建；1978年因嘉尔加腊事件被开除；1978年仅为年份定位,political,solid,-0.16
singh_fourth_congress_return,mohan_bikram_singh,ncp_fourth_congress,重返党内／领导人,1981-01-01,1983-11-01,mixed,reported,WTY-P36-P39,1981年获准返回党内；1983年11月带支持者另建Masal,political,solid,-0.16
singh_masal,mohan_bikram_singh,ncp_masal,创建者／主要领导人,1983-11-01,2002-04-22,mixed,reported,WTY-P36-P39,1983年11月组建；2002年4月22日与尼共（团结中心）联合组建尼共（团结中心—Masal）；期间1985年发生维迪亚派分裂,political,solid,-0.16
singh_unity_centre_masal,mohan_bikram_singh,ncp_unity_centre_masal,总书记,2002-04-22,2006-04-01,mixed,uncertain,WTY-P36-P39,2002年4月22日任总书记；2006年4月恢复民主后该党再次分裂；终点仅按当年4月事件显示不代表卸任日,political,dash,-0.16
prachanda_fourth_congress,prachanda,ncp_fourth_congress,党员／1983年进入中央委员会,1977-01-01,1983-11-01,mixed,reported,WTY-P39-P43,1977年加入辛格领导的尼共（四大）；1983年被选入中央委员会；同年11月随辛格转入Masal,political,solid,0.16
prachanda_masal,prachanda,ncp_masal,中央委员会成员,1983-11-01,1985-01-01,mixed,reported,WTY-P39-P43,1983年随辛格另建Masal；1985年脱离转入Mashal；1985年仅为年份定位,political,solid,0.16
prachanda_mashal,prachanda,ncp_mashal,成员／1989年起任总书记,1985-01-01,1990-11-19,mixed,reported,WTY-P39-P43,1985年加入Mashal；1989年接替维迪亚任总书记；1990年11月19—20日参与组建团结中心,political,solid,-0.16
prachanda_unity_centre,prachanda,ncp_unity_centre,创建者／1991年11月起任总书记,1990-11-19,1994-05-01,mixed,uncertain,WTY-P47-P51,1990年11月19—20日组建；1991年11月当选总书记；1994年5月原四大派被清除后不久另立同名组织；终点只是分支形成时期的显示边界,political,dash,-0.16
prachanda_unity_centre_faction,prachanda,ncp_unity_centre_prachanda,另立同名团结中心的领导人,1994-05-01,1995-03-01,mixed,uncertain,WTY-P47-P51,1994年5月后不久另立同名组织；确切分裂日未载；1995年3月该派改名尼共（毛）,political,dash,-0.16
